Year,Month,Total Rainfall (Millimetre),Maximum Rainfall In A Day (Millimetre),Number Of Rainy Days (Number),Bright Sunshine Daily Mean Hours (Hour)
1975,Jan,121,41,13,6.2
1975,Feb,98.6,38,13,4.8
1975,Mar,197.9,40,18,5.8
1975,Apr,79.7,16.7,17,5.7
1975,May,104.6,49,13,5.6
1975,Jun,212.8,71,14,4.9
1975,Jul,192.5,54.2,15,6.1
1975,Aug,177,62,17,6
1975,Sep,146.5,45.1,13,5.5
1975,Oct,169.8,52.1,20,4.4
1975,Nov,298.4,58,23,3.4
1975,Dec,126.6,31,19,4.9
1976,Jan,44.3,34.5,3,7.4
1976,Feb,89.5,62.7,6,7.8
1976,Mar,122.5,51.8,11,6
1976,Apr,277.4,73.4,13,5.3
1976,May,138,28.1,14,6.8
1976,Jun,100.1,42.1,11,6.4
1976,Jul,242.5,83.8,15,6.1
1976,Aug,150.5,57.1,15,6.8
1976,Sep,217.9,76.5,16,5.9
1976,Oct,243.2,69.5,18,4.5
1976,Nov,237.1,56.3,21,4.2
1976,Dec,303.6,72.5,18,5.3
1977,Jan,52,25.4,6,7.3
1977,Feb,196,93.5,15,3.7
1977,Mar,25.9,10.3,5,7.5
1977,Apr,16.6,9.4,5,6.7
1977,May,117.7,40.8,9,6.4
1977,Jun,201.5,37.8,13,5.3
1977,Jul,118.9,28.5,12,6.5
1977,Aug,217,64.9,16,5.2
1977,Sep,216.9,40.4,16,5.1
1977,Oct,56.3,27.6,8,6
1977,Nov,356.4,54.1,19,3.8
1977,Dec,199.5,63.8,17,5.4
1978,Jan,315.4,86.2,15,5.6
1978,Feb,93.1,23.6,8,7.3
1978,Mar,187.7,50.5,13,6.1
1978,Apr,146.1,45.2,14,6.6
1978,May,174.7,29.8,17,5.2
1978,Jun,197,34.3,19,5.7
1978,Jul,167.1,53.8,9,5.8
1978,Aug,129.8,42.2,11,5.6
1978,Sep,185.1,61.7,16,4.8
1978,Oct,143.2,44.6,15,4.4
1978,Nov,357,116.9,19,3.8
1978,Dec,669.8,512.4,15,5.2
1979,Jan,74.3,26.2,9,7.5
1979,Feb,97.5,39.8,8,7.5
1979,Mar,132.9,25.1,13,6
1979,Apr,282.1,40,20,4.5
1979,May,162.5,43.6,13,6
1979,Jun,173.2,64.6,13,5.2
1979,Jul,206.1,53,17,5.5
1979,Aug,134.7,62.7,7,7.5
1979,Sep,171.6,29.4,16,5.6
1979,Oct,299,90.6,15,4.3
1979,Nov,309.4,72.2,23,3
1979,Dec,124.8,48.9,14,5.9
1980,Jan,326.2,133.5,10,6.5
1980,Feb,92.2,30.7,10,7.4
1980,Mar,57.5,18.9,9,6.7
1980,Apr,196.6,57.8,17,4.9
1980,May,183.1,74,8,6.5
1980,Jun,125.1,39.5,13,6.1
1980,Jul,146.3,44.3,15,6.1
1980,Aug,254,87.7,17,4.8
1980,Sep,118.1,40.9,15,5.3
1980,Oct,351.3,78.6,17,5.4
1980,Nov,248.6,47.1,20,4.2
1980,Dec,226.7,41.4,25,3.9
1981,Jan,37.3,20.2,11,5.9
1981,Feb,176.5,48.4,11,7
1981,Mar,55.5,37.6,7,7.7
1981,Apr,141,49.9,15,4.7
1981,May,158.4,44.4,15,4.2
1981,Jun,67.8,26.9,4,6.8
1981,Jul,207,39.6,17,6.1
1981,Aug,49.5,23.8,4,7.9
1981,Sep,149.3,37,15,4.8
1981,Oct,78.5,17.6,15,5.7
1981,Nov,53.5,16.6,13,3.7
1981,Dec,381.5,79.7,18,5
1982,Jan,85.8,28.9,10,5.6
1982,Feb,97.4,45,5,7.6
1982,Mar,90.7,24.6,11,5.1
1982,Apr,227.5,59.4,14,4.7
1982,May,166.4,44.7,10,5.8
1982,Jun,62.5,39.6,8,7.3
1982,Jul,58.5,18.8,8,7.6
1982,Aug,234.8,121.5,11,5.4
1982,Sep,42.1,15.8,9,5.2
1982,Oct,75.8,34.6,10,5.6
1982,Nov,189.9,67,13,5.8
1982,Dec,418.2,95.8,21,3.3
1983,Jan,253.6,56,18,4.3
1983,Feb,34,33.9,2,9.3
1983,Mar,64.4,54.1,2,8.9
1983,Apr,43.1,26.4,4,6.6
1983,May,292.9,48.2,11,5.9
1983,Jun,110.4,29.1,11,5.9
1983,Jul,124.1,41.6,18,5.4
1983,Aug,176,56.2,10,6.3
1983,Sep,250.1,112.9,18,3.9
1983,Oct,149.1,37.3,17,5.2
1983,Nov,227.5,65.1,18,3.2
1983,Dec,355.6,112.3,16,2.7
1984,Jan,251.2,62.3,18,4.1
1984,Feb,470.4,154.4,19,4.1
1984,Mar,361.3,119.4,19,5.3
1984,Apr,153.1,38.7,17,6.2
1984,May,186.5,46,12,6.4
1984,Jun,255,121.1,14,5.4
1984,Jul,127.2,49.2,12,5.7
1984,Aug,102.7,22.5,13,6
1984,Sep,186.7,46.5,17,4.9
1984,Oct,187.5,47.2,11,5.2
1984,Nov,127.7,35.4,17,4.3
1984,Dec,277.4,58.4,22,3.3
1985,Jan,111.1,35.5,7,8.7
1985,Feb,79.3,18.7,11,6.5
1985,Mar,88,23.8,13,5.6
1985,Apr,110.5,29.3,14,5.5
1985,May,70.1,36.2,12,5.7
1985,Jun,37,9.9,14,5.8
1985,Jul,131.8,32.2,17,5.3
1985,Aug,56.9,21.4,11,6.2
1985,Sep,110.7,22,18,5
1985,Oct,169,30.2,21,4.1
1985,Nov,179.4,38.2,21,4.1
1985,Dec,340.1,86.8,22,4.6
1986,Jan,308.2,95.6,13,3.9
1986,Feb,26.7,23,2,7.2
1986,Mar,353.4,71.1,17,6.2
1986,Apr,150,56.4,14,6.2
1986,May,145.1,51.3,13,6.2
1986,Jun,122.9,34.5,13,6.8
1986,Jul,109.7,23.5,12,6.2
1986,Aug,72.9,28.4,11,5.6
1986,Sep,396,97.6,22,4.7
1986,Oct,227.3,65.6,20,5
1986,Nov,256.7,40.5,21,4.5
1986,Dec,367.2,131.7,16,5.4
1987,Jan,568.6,127.4,16,4
1987,Feb,86.9,34.8,7,9.2
1987,Mar,132.5,40.9,12,6.9
1987,Apr,72.5,27.7,10,6.2
1987,May,270,81.4,16,5.6
1987,Jun,126.6,30.7,15,6.8
1987,Jul,80.9,21.6,11,6.7
1987,Aug,191.9,48.2,16,5.1
1987,Sep,129.9,44.5,11,5.4
1987,Oct,22.6,5.9,9,5.8
1987,Nov,347.6,77.7,17,4.5
1987,Dec,72.8,24.3,11,4.8
1988,Jan,237.5,69,15,5.9
1988,Feb,158.1,46.7,9,6.7
1988,Mar,186.8,70.1,15,5.2
1988,Apr,109.6,22.8,13,5.4
1988,May,229.6,76.7,14,5.6
1988,Jun,252.2,69.4,13,6.5
1988,Jul,305.4,75.6,15,6
1988,Aug,80.1,19,14,4.9
1988,Sep,440.4,187.3,14,4.8
1988,Oct,134.6,39.8,17,4.1
1988,Nov,401.4,111.9,23,3.7
1988,Dec,62.9,22,11,5.7
1989,Jan,189.7,53,10,5.8
1989,Feb,52.4,48.4,3,6.7
1989,Mar,305.9,63.5,21,4.5
1989,Apr,198.6,39,17,5.7
1989,May,194,38.2,12,5.2
1989,Jun,117.6,45.9,12,6
1989,Jul,157.6,33.3,12,6
1989,Aug,201,81.4,18,5.3
1989,Sep,247.3,102.2,14,5.5
1989,Oct,111,24.9,16,5.5
1989,Nov,508.4,148.6,20,5.5
1989,Dec,179.7,44.2,18,4.8
1990,Jan,147.4,73.9,13,5.3
1990,Feb,24.1,6.6,8,8.9
1990,Mar,94.2,48.6,4,8.3
1990,Apr,52.4,12,10,6.3
1990,May,180.1,153.7,11,6.5
1990,Jun,112.6,76.1,9,6.3
1990,Jul,124,44.5,12,5.9
1990,Aug,146.6,38.3,13,5.8
1990,Sep,204.5,44.5,17,5.1
1990,Oct,56.4,20.2,12,5.9
1990,Nov,180.4,46.9,17,4.6
1990,Dec,201.1,33.5,16,5.5
1991,Jan,123.9,36.2,13,5.6
1991,Feb,45.5,17.9,7,7
1991,Mar,92.4,48.6,10,7.1
1991,Apr,134.2,32.2,13,5.8
1991,May,256.4,44,23,5.1
1991,Jun,88.7,55.6,9,7.1
1991,Jul,37.3,10.7,8,6.7
1991,Aug,226.2,129.9,8,5.3
1991,Sep,123.1,53.6,12,4.1
1991,Oct,52,20.4,5,4.2
1991,Nov,205,75.2,19,3.5
1991,Dec,492.3,79.4,19,3
1992,Jan,83.9,56.2,9,6.6
1992,Feb,62.4,43.2,4,7.7
1992,Mar,67.6,35.1,6,7.4
1992,Apr,160.3,94.7,13,6.5
1992,May,63.1,13.7,13,5.7
1992,Jun,162.8,38.4,14,5.5
1992,Jul,290.8,97.3,19,4.7
1992,Aug,76.1,31,11,5.7
1992,Sep,83.6,17.5,13,5.1
1992,Oct,233.2,45.5,20,4.5
1992,Nov,474.3,120.6,18,3.7
1992,Dec,502.7,105.7,23,3.4
1993,Jan,176.4,37.2,11,5.5
1993,Feb,69.2,27,8,8.5
1993,Mar,250.5,56.9,14,5.4
1993,Apr,283.9,56.7,20,6.4
1993,May,129.9,37.2,10,6.1
1993,Jun,115.5,29.4,17,6.2
1993,Jul,240,46.4,15,5.2
1993,Aug,106.8,53.5,11,7.4
1993,Sep,61.7,42,7,5.9
1993,Oct,175.5,62.7,13,5.2
1993,Nov,250.8,61.3,18,4.7
1993,Dec,308.5,67.6,19,4.2
1994,Jan,56.9,17.5,7,6.2
1994,Feb,133.5,26.3,15,6.4
1994,Mar,288.2,64.2,19,3.5
1994,Apr,154,46.3,15,5.8
1994,May,169.6,45.1,16,5
1994,Jun,184.7,61.1,14,6
1994,Jul,53.8,17,6,7.6
1994,Aug,45.1,15.5,12,6.5
1994,Sep,23.7,11.3,6,3.8
1994,Oct,84.7,35.4,11,4.5
1994,Nov,322.2,178.3,21,4.5
1994,Dec,425.4,133.8,18,5.3
1995,Jan,349.4,108.3,21,5
1995,Feb,334,159.3,16,4.9
1995,Mar,67.7,31.1,10,5.9
1995,Apr,242.3,73.6,16,5.7
1995,May,84.4,32.8,11,6
1995,Jun,63.7,45,12,6.6
1995,Jul,173.6,52.3,13,5.2
1995,Aug,211.6,37.9,21,4.1
1995,Sep,29.5,5.7,7,5.8
1995,Oct,101.1,37.1,12,4.7
1995,Nov,372.8,198.6,20,3.7
1995,Dec,302.5,55.6,20,3.1
1996,Jan,173.2,39,10,5.2
1996,Feb,180.2,53,11,5.8
1996,Mar,129.7,61.8,8,7.7
1996,Apr,178.2,55.7,15,5.4
1996,May,107.5,18.6,15,7
1996,Jun,265.8,94.3,15,5.9
1996,Jul,162.3,55.3,10,6.8
1996,Aug,258.4,64.6,17,5
1996,Sep,297,66.5,18,4.8
1996,Oct,300,45.8,20,4.3
1996,Nov,180.2,60.5,16,4.4
1996,Dec,185.5,72.4,15,4.5
1997,Jan,15.4,13.9,3,7.7
1997,Feb,105.4,35.7,8,4.9
1997,Mar,34.3,17.4,10,7
1997,Apr,118.4,44.6,12,5.6
1997,May,41.6,35.6,6,6.8
1997,Jun,78.9,25,12,7.3
1997,Jul,18.6,5.4,9,6.5
1997,Aug,86.6,61.4,9,5.7
1997,Sep,31.1,24.3,3,3.2
1997,Oct,78.4,36.5,8,3.2
1997,Nov,158.3,53.6,13,5.4
1997,Dec,351.9,65.8,23,5.3
1998,Jan,268.8,79.7,13,7.4
1998,Feb,32.5,11.9,5,8.9
1998,Mar,58.8,20.9,7,7.6
1998,Apr,187.7,64.9,13,6.7
1998,May,370.8,83.7,18,5.9
1998,Jun,198.8,42.8,15,5.3
1998,Jul,259.2,55.8,18,5.1
1998,Aug,195,35.5,18,4.6
1998,Sep,258.2,52,17,4.5
1998,Oct,222.7,32.4,20,5
1998,Nov,107.2,57.5,11,4.6
1998,Dec,463.4,84.4,22,3.1
1999,Jan,193.9,52.5,19,3.9
1999,Feb,67.4,32.1,9,6.7
1999,Mar,181.4,52.4,16,4.3
1999,Apr,88.5,29.2,14,5.8
1999,May,157.1,42.8,13,5.7
1999,Jun,103.4,34.5,13,6
1999,Jul,225.4,51.4,11,6.8
1999,Aug,204,42.4,13,5.7
1999,Sep,125.9,41.5,13,6.5
1999,Oct,205,32.8,20,4.8
1999,Nov,241.5,39,19,4.7
1999,Dec,340.5,76.9,17,4.1
2000,Jan,275.2,127.6,14,4
2000,Feb,237.8,39.9,18,5.8
2000,Mar,238.3,37.9,15,5.8
2000,Apr,311.6,87.4,20,5.3
2000,May,96.8,36.7,10,6.8
2000,Jun,157.5,41.7,16,4.6
2000,Jul,116.1,34.6,12,6.5
2000,Aug,113.5,28.1,18,5.1
2000,Sep,81.1,25.7,12,6.2
2000,Oct,120.9,38.3,14,4
2000,Nov,385.7,72,21,3.7
2000,Dec,236,45.8,18,4.2
2001,Jan,425.8,125.4,21,4.4
2001,Feb,86.6,28.2,11,4.9
2001,Mar,297.3,41.1,20,5.4
2001,Apr,203.3,68.9,18,5.4
2001,May,164.9,56.1,12,6
2001,Jun,137.1,49.6,11,4.9
2001,Jul,111.3,44.8,9,8.1
2001,Aug,158.3,36.6,14,4.9
2001,Sep,162,74.3,13,6.2
2001,Oct,252.2,77.2,20,4.2
2001,Nov,175.3,102.6,15,3.7
2001,Dec,609,211.1,20,4.5
2002,Jan,221.2,83.8,11,6.9
2002,Feb,50.8,41.7,2,7.4
2002,Mar,55.6,26.4,8,7.6
2002,Apr,116.5,39.4,13,6.6
2002,May,236.6,75.9,13,6.2
2002,Jun,83.1,45.8,12,6.3
2002,Jul,233.7,69.5,11,6.8
2002,Aug,54.2,17.8,14,6.7
2002,Sep,124.2,38.9,9,5.5
2002,Oct,10.8,3.2,7,6.2
2002,Nov,307.2,84,15,4.6
2002,Dec,255,38.6,24,4.8
2003,Jan,444.2,194.4,20,4.7
2003,Feb,172.9,82.2,13,5.8
2003,Mar,154.6,38.3,11,6.9
2003,Apr,159.9,42.9,20,5.1
2003,May,81.8,33,11,5.9
2003,Jun,50.3,23.2,12,7
2003,Jul,170.4,30.9,14,5.6
2003,Aug,193.6,64.4,13,6.1
2003,Sep,205.3,60,15,5
2003,Oct,351.4,56.6,21,5.1
2003,Nov,133.8,41.3,19,4.2
2003,Dec,273,92.1,17,3.9
2004,Jan,600.9,177.8,13,6.7
2004,Feb,31.9,19.2,4,7.7
2004,Mar,269.4,122.8,16,4.8
2004,Apr,57.1,18.1,9,7
2004,May,137.6,73.4,13,6
2004,Jun,127.2,68.1,8,6.4
2004,Jul,166.6,34.3,21,4.2
2004,Aug,185.2,111.5,8,7.3
2004,Sep,128.9,29.1,14,5.9
2004,Oct,125.6,25.3,13,5.1
2004,Nov,166.2,62.4,15,5.8
2004,Dec,139.8,36.4,14,4.9
2005,Jan,163.2,96.7,8,6.5
2005,Feb,8.4,7.2,3,9.1
2005,Mar,82.4,20.5,12,7.2
2005,Apr,81.7,49.6,10,7
2005,May,331.1,58.7,20,5.5
2005,Jun,82.3,27.6,15,5.4
2005,Jul,104,26.3,15,5.4
2005,Aug,58.5,13.8,13,6.5
2005,Sep,175.7,43.4,18,6.2
2005,Oct,314.5,76.2,19,5.1
2005,Nov,362.9,133.8,23,4.4
2005,Dec,166,47.3,19,4.5
2006,Jan,454.4,131.7,20,4.8
2006,Feb,115.5,44.5,8,7.4
2006,Mar,83.1,35.7,9,7.1
2006,Apr,239.8,43.3,18,5.3
2006,May,205.7,36.6,14,5
2006,Jun,236.8,37.3,16,5.5
2006,Jul,153.8,54.8,15,6.9
2006,Aug,127.3,30.4,14,6.7
2006,Sep,83.3,32.2,12,5.3
2006,Oct,102,37.8,8,4.8
2006,Nov,185.6,64,18,5.6
2006,Dec,765.9,198,22,3.2
2007,Jan,450.1,143.8,20,4.1
2007,Feb,105.5,51.4,3,7.6
2007,Mar,269.1,68.8,21,5.8
2007,Apr,240.2,102.4,14,5.9
2007,May,127.2,21.9,16,5.5
2007,Jun,139,38,12,6
2007,Jul,141.7,23,19,3.9
2007,Aug,190.7,55.9,20,5.7
2007,Sep,149,52.1,13,5.8
2007,Oct,237.2,51.8,16,5.6
2007,Nov,367.9,60.1,21,3.5
2007,Dec,468.6,159,21,4.5
2008,Jan,262.6,123.1,19,6.1
2008,Feb,129.2,48.5,8,5.5
2008,Mar,294.1,48.1,16,4.3
2008,Apr,87.2,34.2,12,6
2008,May,124.9,42.3,10,6.6
2008,Jun,118.3,45.2,12,5.6
2008,Jul,89.1,23.5,15,4.9
2008,Aug,327.3,133.9,18,5.5
2008,Sep,164.4,43.5,18,5.1
2008,Oct,159.5,41.6,19,4.5
2008,Nov,324.3,63.3,16,4
2008,Dec,244.2,52,17,4.7
2009,Jan,38.3,36,5,6.6
2009,Feb,201.8,74.2,8,6.5
2009,Mar,223.3,56.3,19,5.5
2009,Apr,183.7,86.6,12,6.2
2009,May,198.6,41.3,17,6.6
2009,Jun,21.8,5.8,8,6.7
2009,Jul,161,24.4,16,6.2
2009,Aug,177.8,35.5,12,6.5
2009,Sep,109.6,63,13,5.6
2009,Oct,133.4,38.4,15,5.4
2009,Nov,281.8,61.4,23,4.7
2009,Dec,189.8,42.6,18,4.8
2010,Jan,69.5,24.5,10,7.1
2010,Feb,6.3,2.9,4,8.8
2010,Mar,238,57.6,11,6.1
2010,Apr,158.5,40,18,6.2
2010,May,157.5,90.5,17,6.5
2010,Jun,240.5,43,19,5.1
2010,Jul,298.5,121.1,18,4.6
2010,Aug,158.4,60.2,16,5.4
2010,Sep,121.5,28,13,5.7
2010,Oct,166.2,58.1,17,4.2
2010,Nov,278.8,41.6,21,5
2010,Dec,181.4,85.8,14,3.6
2011,Jan,513.2,216.2,17,4.5
2011,Feb,23,17.4,8,7.5
2011,Mar,256.6,54,22,4.6
2011,Apr,217.8,61.8,12,7.2
2011,May,127,34.2,15,5.9
2011,Jun,213,82,15,5
2011,Jul,76.6,30,7,7.8
2011,Aug,81.4,30.2,13,6.1
2011,Sep,136.4,40.4,14,5.1
2011,Oct,216.8,54,20,5.3
2011,Nov,377.8,78.6,24,4.7
2011,Dec,284.6,87.4,21,3.3
2012,Jan,106.1,26.2,16,6
2012,Feb,83.6,38.4,11,7
2012,Mar,313.4,92.3,21,4.2
2012,Apr,260.6,48.4,20,5.8
2012,May,292,79.2,19,5.6
2012,Jun,53,38.2,8,6
2012,Jul,130.8,35.4,17,6.2
2012,Aug,119,31,12,6.1
2012,Sep,107.6,35.8,10,5.6
2012,Oct,122.2,22.6,13,5.9
2012,Nov,208.2,49.2,22,4.4
2012,Dec,363.4,78.8,22,3.6
2013,Jan,262,73,15,6
2013,Feb,395.2,95.2,22,4
2013,Mar,85.8,29.6,10,7.5
2013,Apr,159.4,41.6,19,5.2
2013,May,211.4,46.2,17,5.4
2013,Jun,111.4,22.4,12,6.4
2013,Jul,174.6,37.4,15,5.7
2013,Aug,165.6,43.2,15,6.1
2013,Sep,257,52.6,19,4.6
2013,Oct,285.4,139.8,19,6.3
2013,Nov,292.4,44,22,4.5
2013,Dec,348.2,119.8,21,3.5
2014,Jan,75.4,31.2,5,5.3
2014,Feb,0.2,0.2,1,8.8
2014,Mar,66,52.6,6,8
2014,Apr,110,28.8,17,5.7
2014,May,125.8,22.4,18,5.8
2014,Jun,71.4,18.8,11,6
2014,Jul,148.6,29,15,5.5
2014,Aug,241,44.2,20,4.5
2014,Sep,83.6,34.6,9,7
2014,Oct,120,32.8,10,6
2014,Nov,250.8,64.4,23,5.4
2014,Dec,245.6,48.2,17,3.7
2015,Jan,79.6,33.6,6,7.4
2015,Feb,18.8,10.8,6,7.3
2015,Mar,84.4,46,5,7.3
2015,Apr,73.2,18.8,13,7.2
2015,May,89,22.2,12,5.8
2015,Jun,95.8,28.4,10,6.7
2015,Jul,116.8,45.8,13,7.1
2015,Aug,185.8,63.2,11,6.1
2015,Sep,61.6,18.4,8,4.3
2015,Oct,87.2,28.6,9,4.7
2015,Nov,72.6,25.8,13,4.8
2015,Dec,302,40.4,19,5.3
2016,Jan,126.6,39.6,15,7.2
2016,Feb,186,71.8,10,6.5
2016,Mar,6.2,2.4,6,8
